time	V(out1)
1.310640340432237e+01	1.403153e-01
1.310658911860808e+01	1.394933e-01
1.310677483289380e+01	1.387638e-01
1.310696054717951e+01	1.381266e-01
1.310714626146523e+01	1.375818e-01
1.310733197575094e+01	1.371294e-01
1.310751769003666e+01	1.367694e-01
1.310770340432237e+01	1.365018e-01
1.310817483289380e+01	1.360084e-01
1.310864626146522e+01	1.356041e-01
1.310911769003665e+01	1.352889e-01
1.310958911860808e+01	1.350626e-01
1.311006054717951e+01	1.349255e-01
1.311053197575093e+01	1.348773e-01
1.311100340432236e+01	1.349183e-01
1.311120340432236e+01	1.348408e-01
1.311140340432236e+01	1.346698e-01
1.311160340432236e+01	1.345615e-01
1.311206054717950e+01	1.346588e-01
1.311251769003664e+01	1.347349e-01
1.311297483289379e+01	1.347898e-01
1.311343197575093e+01	1.348234e-01
1.311388911860807e+01	1.348358e-01
1.311434626146521e+01	1.348270e-01
1.311480340432235e+01	1.347970e-01
1.317320340432222e+01	1.347053e-01
1.318781769003647e+01	1.346868e-01
1.320243197575072e+01	1.346687e-01
1.321704626146497e+01	1.346508e-01
1.323166054717922e+01	1.346332e-01
1.324627483289347e+01	1.346158e-01
1.326088911860773e+01	1.345988e-01
1.327550340432198e+01	1.345820e-01
1.327560340432198e+01	1.345819e-01
1.329021769003623e+01	1.345654e-01
1.330483197575048e+01	1.345492e-01
1.331944626146473e+01	1.345332e-01
1.333406054717898e+01	1.345176e-01
1.334867483289324e+01	1.345022e-01
1.336328911860749e+01	1.344871e-01
1.337790340432174e+01	1.344722e-01
1.337800340432174e+01	1.344721e-01
1.339098911860742e+01	1.344591e-01
1.340397483289311e+01	1.344464e-01
1.341696054717879e+01	1.344338e-01
1.342994626146447e+01	1.344215e-01
1.344293197575016e+01	1.344093e-01
1.345591769003584e+01	1.343974e-01
1.346890340432153e+01	1.343856e-01
1.348040340432150e+01	1.343754e-01
1.349501769003575e+01	1.343621e-01
1.350963197575000e+01	1.343494e-01
1.352424626146425e+01	1.343373e-01
1.353886054717851e+01	1.343257e-01
1.355347483289276e+01	1.343146e-01
1.356808911860701e+01	1.343040e-01
1.358270340432126e+01	1.342940e-01
1.358280340432126e+01	1.342940e-01
1.358717483289268e+01	1.342907e-01
1.359154626146410e+01	1.342895e-01
1.359591769003552e+01	1.342902e-01
1.360028911860693e+01	1.342928e-01
1.360466054717835e+01	1.342975e-01
1.360903197574977e+01	1.343041e-01
1.361340340432119e+01	1.343127e-01
1.361587483289261e+01	1.343194e-01
1.361834626146404e+01	1.343301e-01
1.362081769003546e+01	1.343447e-01
1.362328911860688e+01	1.343633e-01
1.362576054717830e+01	1.343860e-01
1.362823197574973e+01	1.344126e-01
1.363070340432115e+01	1.344432e-01
1.363246054717829e+01	1.344688e-01
1.363421769003543e+01	1.345011e-01
1.363597483289257e+01	1.345403e-01
1.363773197574970e+01	1.345862e-01
1.363948911860684e+01	1.346390e-01
1.364124626146398e+01	1.346986e-01
1.364300340432112e+01	1.347649e-01
1.364437483289255e+01	1.348237e-01
1.364574626146397e+01	1.348934e-01
1.364711769003540e+01	1.349739e-01
1.364848911860682e+01	1.350653e-01
1.364986054717825e+01	1.351675e-01
1.365123197574967e+01	1.352806e-01
1.365260340432110e+01	1.354045e-01
1.365270340432110e+01	1.368447e-01
1.365280340432110e+01	1.396343e-01
1.365290340432110e+01	1.420663e-01
1.365300340432110e+01	1.440939e-01
1.365310340432110e+01	1.459602e-01
1.365330340432110e+01	1.493204e-01
1.365350340432110e+01	1.523099e-01
1.365380340432110e+01	1.561138e-01
1.365404626146395e+01	1.588367e-01
1.365428911860681e+01	1.613548e-01
1.365453197574966e+01	1.636680e-01
1.365477483289252e+01	1.657764e-01
1.365501769003538e+01	1.676800e-01
1.365526054717824e+01	1.693787e-01
1.365550340432109e+01	1.708726e-01
1.365610340432109e+01	1.740069e-01
1.365670340432109e+01	1.767868e-01
1.365730340432109e+01	1.792122e-01
1.365790340432109e+01	1.812832e-01
1.365850340432108e+01	1.829997e-01
1.365910340432108e+01	1.843619e-01
1.365970340432108e+01	1.853696e-01
1.366151769003536e+01	1.874494e-01
1.366333197574964e+01	1.889786e-01
1.366514626146393e+01	1.899572e-01
1.366696054717821e+01	1.903852e-01
1.366877483289249e+01	1.902625e-01
1.367058911860677e+01	1.895892e-01
1.367240340432105e+01	1.883652e-01
1.367421769003533e+01	1.871881e-01
1.367603197574961e+01	1.858788e-01
1.367784626146390e+01	1.844373e-01
1.367966054717818e+01	1.828635e-01
1.368147483289246e+01	1.811574e-01
1.368328911860674e+01	1.793191e-01
1.368510340432102e+01	1.773486e-01
1.368520340432102e+01	1.772397e-01
1.368787483289245e+01	1.742185e-01
1.369054626146387e+01	1.710603e-01
1.369321769003529e+01	1.677652e-01
1.369588911860671e+01	1.643332e-01
1.369856054717813e+01	1.607643e-01
1.370123197574956e+01	1.570584e-01
1.370390340432098e+01	1.532155e-01
1.370536054717812e+01	1.510769e-01
1.370681769003526e+01	1.488862e-01
1.370827483289240e+01	1.466434e-01
1.370973197574954e+01	1.443485e-01
1.371118911860668e+01	1.420016e-01
1.371264626146382e+01	1.396025e-01
1.371410340432096e+01	1.371514e-01
1.371500340432095e+01	1.356030e-01
1.371590340432095e+01	1.340162e-01
1.371680340432095e+01	1.323908e-01
1.371770340432095e+01	1.307270e-01
1.371860340432094e+01	1.290247e-01
1.371950340432094e+01	1.272839e-01
1.372040340432094e+01	1.255046e-01
1.372108911860665e+01	1.241173e-01
1.372177483289237e+01	1.226820e-01
1.372246054717808e+01	1.211989e-01
